Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.540360373,0.51432944,0.506852848,0.509940137,0.504868725,0.496166411,0.479418407,0.472672151,0.470916864,0.433757394,0.415454696,0.432472268,0.421552468,0.422043254,0.417280546,0.381788821,0.352462957,0.336047117,0.337044457,0.321161492,0.318556135,0.296043299,0.307800542,0.299717635,0.291419163,0.27383685,0.261376542,0.256063559,0.246606996,0.241603509,0.218651761
Afghanistan,AFG,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,,,,,,,,,,,,,0.070839769,0.075212832,0.056458259,0.074707886,0.080076241,0.085419224,0.123912643,0.152037294,0.171765222,0.233702866,0.171085012,0.144558321,0.134398532,0.140016044,0.132599159,0.13415235,0.141729245,0.137244138,0.107514385
Africa Western and Central,AFW,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.268746923,0.291992054,0.306229624,0.285769383,0.258555649,0.271224542,0.293928894,0.27701968,0.254847178,0.252127585,0.253644251,0.247905172,0.209308656,0.207905929,0.189657356,0.17644752,0.154164603,0.13806983,0.134198769,0.121265797,0.126033386,0.122033313,0.118882711,0.121843141,0.119054446,0.116554665,0.119729454,0.114726181,0.114210905,0.114934608,0.11072972
Angola,AGO,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.169026026,0.164612332,0.176116939,0.305046715,0.3592167,0.344433246,0.361663791,0.346715804,0.339920424,0.344578056,0.300800496,0.27797437,0.236780947,0.240909108,0.220144607,0.168099802,0.153094109,0.13396782,0.134330219,0.145173235,0.14817002,0.146831392,0.128236936,0.134884114,0.13437038,0.154683994,0.144091504,0.114982838,0.107301591,0.109504162,0.093089722
Albania,ALB,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.723222974,0.660473354,0.378197059,0.312976094,0.283797949,0.229571064,0.208428975,0.172879141,0.190920275,0.276611374,0.26715322,0.245770607,0.264512983,0.272215659,0.263081332,0.23188826,0.207747434,0.196838459,0.173577479,0.169299539,0.170612624,0.173212792,0.14876472,0.156693375,0.159486989,0.142827921,0.131642419,0.147251518,0.137398671,0.121428315,0.109710417
Andorra,AND,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.417360539,0.376658286,0.380835785,0.389421103,0.392677183,0.386010891,0.375306274,0.370491345,0.349087976,0.341860606,0.326288384,0.33122208,0.336043772,0.32587179,0.306345686,0.301057069,0.290749588,0.282445522,0.283638379,0.290131234,0.290155435,0.279649333,0.276015163,0.276073551,0.28394554,0.314371977,0.320788154,0.303181362,0.285615056,0.279096708,0.276030208
United Arab Emirates,ARE,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.33454114,0.357760945,0.328234906,0.337417746,0.343829029,0.335221797,0.325067816,0.306320703,0.309478835,0.304496934,0.265620404,0.29387969,0.288162337,0.271972516,0.256143035,0.250734807,0.231159824,0.23655772,0.266237877,0.280924532,0.283247407,0.267409531,0.270870863,0.278524956,0.267854659,0.31438606,0.323594287,0.297341852,0.260144327,0.269334258,0.283412504
Argentina,ARG,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.427859301,0.400370828,0.36956272,0.340844725,0.32004441,0.325467583,0.328792241,0.30768542,0.308199379,0.318909972,0.309098399,0.299469331,0.310336853,0.303881207,0.30060709,0.27651384,0.263431029,0.247307122,0.239510371,0.236825362,0.226963219,0.221559767,0.21709864,0.215692383,0.213836657,0.213970218,0.206905789,0.172483425,0.170672014,0.162641533,0.163749515
Armenia,ARM,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,2.024223002,2.311800381,2.019009482,1.000158325,0.505744287,0.588114818,0.393971702,0.502070845,0.486116835,0.412295129,0.436890995,0.394328728,0.296978816,0.286322945,0.271718386,0.274145871,0.236419785,0.234716672,0.235349686,0.215988495,0.200764682,0.213861327,0.211650916,0.193034056,0.187434992,0.18320118,0.161209998,0.150555566,0.148623643,0.147174888,0.170473479
American Samoa,ASM,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.267500455,0.256952065,0.24509676,0.231057241,0.215124066,0.230093277,0.22962057,0.224769115,0.22681928,0.225700486,0.216974104,0.228990774,0.23233555,0.231195977,0.216829553,0.202452208,0.184101244,0.172715978,0.173088474,0.206992443,0.227904586,0.222983778,0.239799079,0.245051266,0.245122861,0.257547288,0.256342116,0.253249163,0.235156303,0.224241312,0.254430557
Australia,AUS,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.888170293,0.858702764,0.841148542,0.805669079,0.779896135,0.765951652,0.744210684,0.722430363,0.722050883,0.695976875,0.672049707,0.648586921,0.624238919,0.594072339,0.578296261,0.553279763,0.524949031,0.503487132,0.485953436,0.450412355,0.456480798,0.420127547,0.406041438,0.365608021,0.344366542,0.349918449,0.345116876,0.333532241,0.315727202,0.299915204,0.277660982
Austria,AUT,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.389774285,0.390420469,0.345411902,0.3364373,0.324370598,0.324838995,0.332020786,0.316998424,0.303934892,0.285782779,0.269925261,0.284250571,0.275310986,0.285240891,0.274645163,0.264650745,0.237975705,0.217792176,0.205736085,0.188697638,0.199146959,0.183030137,0.166256843,0.161804808,0.148790434,0.146770818,0.138386889,0.138206091,0.125419706,0.121662079,0.115883332
Azerbaijan,AZE,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,1.418871647,1.345326351,2.076580073,1.992564629,1.694541174,1.823373711,1.480132061,1.339685983,1.204382013,1.090440748,1.017250602,0.863044586,0.770046588,0.747801348,0.660561226,0.531134054,0.388749179,0.27440274,0.267896617,0.203939968,0.182924851,0.200893827,0.20298436,0.191144615,0.193853429,0.220424849,0.229904159,0.229654004,0.226279704,0.235377119,0.234473648
